input_dict,ground_truth,natural question,natural answer
"domain_1: Natural Language Processing
concept_1: information extraction","toolkits for information retrieval
linguistics basics
text similarity
sentence representations
natural language processing intro","In the domain of Natural Language Processing, I want to learn about information extraction, what concepts should I learn first?",toolkits for information retrieval;linguistics basics;text similarity;sentence representations;natural language processing intro
"domain_1: Natural Language Processing
concept_1: newton method",optimization,"In the domain of Natural Language Processing, I want to learn about newton method, what concepts should I learn first?",optimization
"domain_1: Natural Language Processing
concept_1: Mixture Models","probabilities
clustering
Gaussian graphical models","In the domain of Natural Language Processing, I want to learn about Mixture Models, what concepts should I learn first?",probabilities;clustering;Gaussian graphical models
"domain_1: Natural Language Processing
concept_1: reinforcement learning",Unsupervised learning,"In the domain of Natural Language Processing, I want to learn about reinforcement learning, what concepts should I learn first?",Unsupervised learning
"domain_1: Natural Language Processing
concept_1: propositional logic","logic and logical agents
linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about propositional logic, what concepts should I learn first?",logic and logical agents;linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: pagerank",graph-based nlp,"In the domain of Natural Language Processing, I want to learn about pagerank, what concepts should I learn first?",graph-based nlp
"domain_1: Natural Language Processing
concept_1: bayesian network","probabilities
bayes theorem","In the domain of Natural Language Processing, I want to learn about bayesian network, what concepts should I learn first?",probabilities;bayes theorem
"domain_1: Natural Language Processing
concept_1: speech synthesis","speech processing
linguistics basics
machine learning resources","In the domain of Natural Language Processing, I want to learn about speech synthesis, what concepts should I learn first?",speech processing;linguistics basics;machine learning resources
"domain_1: Natural Language Processing
concept_1: latent dirichlet allocation","machine learning resources
monte carlo methods
latent variable models
Markov chains","In the domain of Natural Language Processing, I want to learn about latent dirichlet allocation, what concepts should I learn first?",machine learning resources;monte carlo methods;latent variable models;Markov chains
"domain_1: Natural Language Processing
concept_1: summarization evaluation",text summarization,"In the domain of Natural Language Processing, I want to learn about summarization evaluation, what concepts should I learn first?",text summarization
"domain_1: Natural Language Processing
concept_1: dependency parsing",parsing,"In the domain of Natural Language Processing, I want to learn about dependency parsing, what concepts should I learn first?",parsing
"domain_1: Natural Language Processing
concept_1: monte carlo methods",probabilities,"In the domain of Natural Language Processing, I want to learn about monte carlo methods, what concepts should I learn first?",probabilities
"domain_1: Natural Language Processing
concept_1: preprocessing","programming languages
python","In the domain of Natural Language Processing, I want to learn about preprocessing, what concepts should I learn first?",programming languages;python
"domain_1: Natural Language Processing
concept_1: computational phonology",linguistics basics,"In the domain of Natural Language Processing, I want to learn about computational phonology, what concepts should I learn first?",linguistics basics
"domain_1: Natural Language Processing
concept_1: shift-reduce parsing","syntax
classic parsing methods
linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about shift-reduce parsing, what concepts should I learn first?",syntax;classic parsing methods;linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: NLP models",tokenization,"In the domain of Natural Language Processing, I want to learn about NLP models, what concepts should I learn first?",tokenization
"domain_1: Natural Language Processing
concept_1: lexicography","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about lexicography, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: graph-based nlp",natural language processing intro,"In the domain of Natural Language Processing, I want to learn about graph-based nlp, what concepts should I learn first?",natural language processing intro
"domain_1: Natural Language Processing
concept_1: question answering system",semantic units,"In the domain of Natural Language Processing, I want to learn about question answering system, what concepts should I learn first?",semantic units
"domain_1: Natural Language Processing
concept_1: discourse relation identification",relation prediction,"In the domain of Natural Language Processing, I want to learn about discourse relation identification, what concepts should I learn first?",relation prediction
"domain_1: Natural Language Processing
concept_1: question answering","probabilities
bayes theorem","In the domain of Natural Language Processing, I want to learn about question answering, what concepts should I learn first?",probabilities;bayes theorem
"domain_1: Natural Language Processing
concept_1: feature selection","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about feature selection, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: morphology and lexicon","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about morphology and lexicon, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: transition based dependency parsing","dependency parsing
shift-reduce parsing","In the domain of Natural Language Processing, I want to learn about transition based dependency parsing, what concepts should I learn first?",dependency parsing;shift-reduce parsing
"domain_1: Natural Language Processing
concept_1: weakly-supervised learning",random walks and harmonic functions,"In the domain of Natural Language Processing, I want to learn about weakly-supervised learning, what concepts should I learn first?",random walks and harmonic functions
"domain_1: Natural Language Processing
concept_1: unsupervised machine translation",monolingual word embeddings,"In the domain of Natural Language Processing, I want to learn about unsupervised machine translation, what concepts should I learn first?",monolingual word embeddings
"domain_1: Natural Language Processing
concept_1: Message Passing",matrix multiplication,"In the domain of Natural Language Processing, I want to learn about Message Passing, what concepts should I learn first?",matrix multiplication
"domain_1: Natural Language Processing
concept_1: probabilistic context free grammars","linguistics basics
probabilistic grammars
natural language processing intro","In the domain of Natural Language Processing, I want to learn about probabilistic context free grammars, what concepts should I learn first?",linguistics basics;probabilistic grammars;natural language processing intro
"domain_1: Natural Language Processing
concept_1: Dirichlet Processes",probabilities,"In the domain of Natural Language Processing, I want to learn about Dirichlet Processes, what concepts should I learn first?",probabilities
"domain_1: Natural Language Processing
concept_1: dependency parsing",parsing,"In the domain of Natural Language Processing, I want to learn about dependency parsing, what concepts should I learn first?",parsing
"domain_1: Natural Language Processing
concept_1: stack lstm","deep learning introduction
training neural networks","In the domain of Natural Language Processing, I want to learn about stack lstm, what concepts should I learn first?",deep learning introduction;training neural networks
"domain_1: Natural Language Processing
concept_1: lexicalized parsing",parsing,"In the domain of Natural Language Processing, I want to learn about lexicalized parsing, what concepts should I learn first?",parsing
"domain_1: Natural Language Processing
concept_1: visual knowledge augmentation",visual semantic,"In the domain of Natural Language Processing, I want to learn about visual knowledge augmentation, what concepts should I learn first?",visual semantic
"domain_1: Natural Language Processing
concept_1: graph convolutional networks","semi-supervised learning
convolutional neural networks
training neural networks","In the domain of Natural Language Processing, I want to learn about graph convolutional networks, what concepts should I learn first?",semi-supervised learning;convolutional neural networks;training neural networks
"domain_1: Natural Language Processing
concept_1: multilingual word embedding",word embedding variations,"In the domain of Natural Language Processing, I want to learn about multilingual word embedding, what concepts should I learn first?",word embedding variations
"domain_1: Natural Language Processing
concept_1: game playing in ai","search
problem solving and search
machine learning resources
multi-agent systems","In the domain of Natural Language Processing, I want to learn about game playing in ai, what concepts should I learn first?",search;problem solving and search;machine learning resources;multi-agent systems
"domain_1: Natural Language Processing
concept_1: logic and logical agents",search,"In the domain of Natural Language Processing, I want to learn about logic and logical agents, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: unsupervised speech recognition",speech translation model,"In the domain of Natural Language Processing, I want to learn about unsupervised speech recognition, what concepts should I learn first?",speech translation model
"domain_1: Natural Language Processing
concept_1: document ranking",information retrieval,"In the domain of Natural Language Processing, I want to learn about document ranking, what concepts should I learn first?",information retrieval
"domain_1: Natural Language Processing
concept_1: Multi-News dataset creation",extractive summarization,"In the domain of Natural Language Processing, I want to learn about Multi-News dataset creation, what concepts should I learn first?",extractive summarization
"domain_1: Natural Language Processing
concept_1: Neural extractive summarization",extractive summarization,"In the domain of Natural Language Processing, I want to learn about Neural extractive summarization, what concepts should I learn first?",extractive summarization
"domain_1: Natural Language Processing
concept_1: regular expressions",natural language processing intro,"In the domain of Natural Language Processing, I want to learn about regular expressions, what concepts should I learn first?",natural language processing intro
"domain_1: Natural Language Processing
concept_1: text summarization",sentence representations,"In the domain of Natural Language Processing, I want to learn about text summarization, what concepts should I learn first?",sentence representations
"domain_1: Natural Language Processing
concept_1: social network extraction","probabilities
information extraction","In the domain of Natural Language Processing, I want to learn about social network extraction, what concepts should I learn first?",probabilities;information extraction
"domain_1: Natural Language Processing
concept_1: knowledge representation","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about knowledge representation, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: sentence simplification","linguistics basics
sentence representations
semantic similarity
natural language processing intro","In the domain of Natural Language Processing, I want to learn about sentence simplification, what concepts should I learn first?",linguistics basics;sentence representations;semantic similarity;natural language processing intro
"domain_1: Natural Language Processing
concept_1: informed search",search,"In the domain of Natural Language Processing, I want to learn about informed search, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: weakly-supervised learning",random walks and harmonic functions,"In the domain of Natural Language Processing, I want to learn about weakly-supervised learning, what concepts should I learn first?",random walks and harmonic functions
"domain_1: Natural Language Processing
concept_1: sentence simplification","linguistics basics
sentence representations
semantic similarity
natural language processing intro","In the domain of Natural Language Processing, I want to learn about sentence simplification, what concepts should I learn first?",linguistics basics;sentence representations;semantic similarity;natural language processing intro
"domain_1: Natural Language Processing
concept_1: dual decomposition",optimization,"In the domain of Natural Language Processing, I want to learn about dual decomposition, what concepts should I learn first?",optimization
"domain_1: Natural Language Processing
concept_1: latent variable models","probabilities
loss function","In the domain of Natural Language Processing, I want to learn about latent variable models, what concepts should I learn first?",probabilities;loss function
"domain_1: Natural Language Processing
concept_1: recursive neural network",probabilities,"In the domain of Natural Language Processing, I want to learn about recursive neural network, what concepts should I learn first?",probabilities
"domain_1: Natural Language Processing
concept_1: monte carlo methods",probabilities,"In the domain of Natural Language Processing, I want to learn about monte carlo methods, what concepts should I learn first?",probabilities
"domain_1: Natural Language Processing
concept_1: AlphaGo",monte carlo tree search,"In the domain of Natural Language Processing, I want to learn about AlphaGo, what concepts should I learn first?",monte carlo tree search
"domain_1: Natural Language Processing
concept_1: graph convolutional networks","semi-supervised learning
convolutional neural networks
training neural networks","In the domain of Natural Language Processing, I want to learn about graph convolutional networks, what concepts should I learn first?",semi-supervised learning;convolutional neural networks;training neural networks
"domain_1: Natural Language Processing
concept_1: computational phonology",linguistics basics,"In the domain of Natural Language Processing, I want to learn about computational phonology, what concepts should I learn first?",linguistics basics
"domain_1: Natural Language Processing
concept_1: Vision Transformer",computer vision,"In the domain of Natural Language Processing, I want to learn about Vision Transformer, what concepts should I learn first?",computer vision
"domain_1: Natural Language Processing
concept_1: Markov Random Fields",graphical models,"In the domain of Natural Language Processing, I want to learn about Markov Random Fields, what concepts should I learn first?",graphical models
"domain_1: Natural Language Processing
concept_1: Lagrange duality",optimization,"In the domain of Natural Language Processing, I want to learn about Lagrange duality, what concepts should I learn first?",optimization
"domain_1: Natural Language Processing
concept_1: syntaxnet","syntax
part of speech tagging
word embedding
parsing
penn treebank
neural networks","In the domain of Natural Language Processing, I want to learn about syntaxnet, what concepts should I learn first?",syntax;part of speech tagging;word embedding;parsing;penn treebank;neural networks
"domain_1: Natural Language Processing
concept_1: logic and logical agents",search,"In the domain of Natural Language Processing, I want to learn about logic and logical agents, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: structured sparsity",probabilities,"In the domain of Natural Language Processing, I want to learn about structured sparsity, what concepts should I learn first?",probabilities
"domain_1: Natural Language Processing
concept_1: gibbs sampling",Sampling,"In the domain of Natural Language Processing, I want to learn about gibbs sampling, what concepts should I learn first?",Sampling
"domain_1: Natural Language Processing
concept_1: robotic locomotion",robotics,"In the domain of Natural Language Processing, I want to learn about robotic locomotion, what concepts should I learn first?",robotics
"domain_1: Natural Language Processing
concept_1: question answering","probabilities
bayes theorem","In the domain of Natural Language Processing, I want to learn about question answering, what concepts should I learn first?",probabilities;bayes theorem
"domain_1: Natural Language Processing
concept_1: finite state transducers",finite state machines,"In the domain of Natural Language Processing, I want to learn about finite state transducers, what concepts should I learn first?",finite state machines
"domain_1: Natural Language Processing
concept_1: word distributions","structured learning
probabilities
n-gram models","In the domain of Natural Language Processing, I want to learn about word distributions, what concepts should I learn first?",structured learning;probabilities;n-gram models
"domain_1: Natural Language Processing
concept_1: vector semantics",structured learning,"In the domain of Natural Language Processing, I want to learn about vector semantics, what concepts should I learn first?",structured learning
"domain_1: Natural Language Processing
concept_1: neural turing machine","recurrent neural networks
deep learning introduction","In the domain of Natural Language Processing, I want to learn about neural turing machine, what concepts should I learn first?",recurrent neural networks;deep learning introduction
"domain_1: Natural Language Processing
concept_1: a* search","search
heuristic search","In the domain of Natural Language Processing, I want to learn about a* search, what concepts should I learn first?",search;heuristic search
"domain_1: Natural Language Processing
concept_1: Neural extractive summarization",extractive summarization,"In the domain of Natural Language Processing, I want to learn about Neural extractive summarization, what concepts should I learn first?",extractive summarization
"domain_1: Natural Language Processing
concept_1: expectation maximization algorithm","latent variable models
Mixture Models","In the domain of Natural Language Processing, I want to learn about expectation maximization algorithm, what concepts should I learn first?",latent variable models;Mixture Models
"domain_1: Natural Language Processing
concept_1: uncertainty",search,"In the domain of Natural Language Processing, I want to learn about uncertainty, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: spelling correction","chinese nlp
linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about spelling correction, what concepts should I learn first?",chinese nlp;linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: relation extraction","linguistics basics
semantic similarity
random walks and harmonic functions
natural language processing intro","In the domain of Natural Language Processing, I want to learn about relation extraction, what concepts should I learn first?",linguistics basics;semantic similarity;random walks and harmonic functions;natural language processing intro
"domain_1: Natural Language Processing
concept_1: information extraction","toolkits for information retrieval
linguistics basics
text similarity
sentence representations
natural language processing intro","In the domain of Natural Language Processing, I want to learn about information extraction, what concepts should I learn first?",toolkits for information retrieval;linguistics basics;text similarity;sentence representations;natural language processing intro
"domain_1: Natural Language Processing
concept_1: semi supervised learning",parsing,"In the domain of Natural Language Processing, I want to learn about semi supervised learning, what concepts should I learn first?",parsing
"domain_1: Natural Language Processing
concept_1: character level language models","evaluation of language modeling
word distributions","In the domain of Natural Language Processing, I want to learn about character level language models, what concepts should I learn first?",evaluation of language modeling;word distributions
"domain_1: Natural Language Processing
concept_1: morphological analysis",morphological typology,"In the domain of Natural Language Processing, I want to learn about morphological analysis, what concepts should I learn first?",morphological typology
"domain_1: Natural Language Processing
concept_1: recursive neural network",probabilities,"In the domain of Natural Language Processing, I want to learn about recursive neural network, what concepts should I learn first?",probabilities
"domain_1: Natural Language Processing
concept_1: transition based dependency parsing","dependency parsing
shift-reduce parsing","In the domain of Natural Language Processing, I want to learn about transition based dependency parsing, what concepts should I learn first?",dependency parsing;shift-reduce parsing
"domain_1: Natural Language Processing
concept_1: convolutional neural networks",neural networks,"In the domain of Natural Language Processing, I want to learn about convolutional neural networks, what concepts should I learn first?",neural networks
"domain_1: Natural Language Processing
concept_1: prosody",linguistics basics,"In the domain of Natural Language Processing, I want to learn about prosody, what concepts should I learn first?",linguistics basics
"domain_1: Natural Language Processing
concept_1: transition based dependency parsing","dependency parsing
shift-reduce parsing","In the domain of Natural Language Processing, I want to learn about transition based dependency parsing, what concepts should I learn first?",dependency parsing;shift-reduce parsing
"domain_1: Natural Language Processing
concept_1: robotics","uncertainty
reinforcement learning","In the domain of Natural Language Processing, I want to learn about robotics, what concepts should I learn first?",uncertainty;reinforcement learning
"domain_1: Natural Language Processing
concept_1: stack lstm","deep learning introduction
training neural networks","In the domain of Natural Language Processing, I want to learn about stack lstm, what concepts should I learn first?",deep learning introduction;training neural networks
"domain_1: Natural Language Processing
concept_1: Markov Random Fields",graphical models,"In the domain of Natural Language Processing, I want to learn about Markov Random Fields, what concepts should I learn first?",graphical models
"domain_1: Natural Language Processing
concept_1: graph convolutional networks","semi-supervised learning
convolutional neural networks
training neural networks","In the domain of Natural Language Processing, I want to learn about graph convolutional networks, what concepts should I learn first?",semi-supervised learning;convolutional neural networks;training neural networks
"domain_1: Natural Language Processing
concept_1: chomsky hierarchy","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about chomsky hierarchy, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: agent-based view of ai","reinforcement learning
logic and logical agents","In the domain of Natural Language Processing, I want to learn about agent-based view of ai, what concepts should I learn first?",reinforcement learning;logic and logical agents
"domain_1: Natural Language Processing
concept_1: bayesian network","probabilities
bayes theorem","In the domain of Natural Language Processing, I want to learn about bayesian network, what concepts should I learn first?",probabilities;bayes theorem
"domain_1: Natural Language Processing
concept_1: synthetic data generation",generative language model,"In the domain of Natural Language Processing, I want to learn about synthetic data generation, what concepts should I learn first?",generative language model
"domain_1: Natural Language Processing
concept_1: expert systems",logic and logical agents,"In the domain of Natural Language Processing, I want to learn about expert systems, what concepts should I learn first?",logic and logical agents
"domain_1: Natural Language Processing
concept_1: finite state transducers",finite state machines,"In the domain of Natural Language Processing, I want to learn about finite state transducers, what concepts should I learn first?",finite state machines
"domain_1: Natural Language Processing
concept_1: pagerank",graph-based nlp,"In the domain of Natural Language Processing, I want to learn about pagerank, what concepts should I learn first?",graph-based nlp
"domain_1: Natural Language Processing
concept_1: Markov Random Fields",graphical models,"In the domain of Natural Language Processing, I want to learn about Markov Random Fields, what concepts should I learn first?",graphical models
"domain_1: Natural Language Processing
concept_1: edit distance","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about edit distance, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: multimodal fusion",multimodal embeddings,"In the domain of Natural Language Processing, I want to learn about multimodal fusion, what concepts should I learn first?",multimodal embeddings
"domain_1: Natural Language Processing
concept_1: Autoencoders","maximum likelihood estimation
backpropagation
neural networks
loss function","In the domain of Natural Language Processing, I want to learn about Autoencoders, what concepts should I learn first?",maximum likelihood estimation;backpropagation;neural networks;loss function
"domain_1: Natural Language Processing
concept_1: a* search","search
heuristic search","In the domain of Natural Language Processing, I want to learn about a* search, what concepts should I learn first?",search;heuristic search
"domain_1: Natural Language Processing
concept_1: finite state transducers",finite state machines,"In the domain of Natural Language Processing, I want to learn about finite state transducers, what concepts should I learn first?",finite state machines
"domain_1: Natural Language Processing
concept_1: spectral clustering","machine learning resources
Unsupervised learning","In the domain of Natural Language Processing, I want to learn about spectral clustering, what concepts should I learn first?",machine learning resources;Unsupervised learning
"domain_1: Natural Language Processing
concept_1: vector representations","structured learning
word distributions
natural language processing intro","In the domain of Natural Language Processing, I want to learn about vector representations, what concepts should I learn first?",structured learning;word distributions;natural language processing intro
"domain_1: Natural Language Processing
concept_1: expectation maximization algorithm","latent variable models
Mixture Models","In the domain of Natural Language Processing, I want to learn about expectation maximization algorithm, what concepts should I learn first?",latent variable models;Mixture Models
"domain_1: Natural Language Processing
concept_1: pointer networks",training neural networks,"In the domain of Natural Language Processing, I want to learn about pointer networks, what concepts should I learn first?",training neural networks
